SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
596,Rhomboplites aurorubens,168909,374,168909,"SNAPPER,VERMILION",RHOMBOPLITES AURORUBENS
621,Caulolatilus microps,168543,444,168543,"TILEFISH,BLUELINE",CAULOLATILUS MICROPS
622,Caulolatilus chrysops,168544,443,168544,"TILEFISH,GOLDFACE",CAULOLATILUS CHRYSOPS
631,Archosargus probatocephalus,169189,356,169189,"SHEEPSHEAD,ATLANTIC",ARCHOSARGUS PROBATOCEPHALUS
634,Calamus leucosteus,169200,332,169180,"PORGIES,UNC",SPARIDAE
640,Lagodon rhomboides,169187,267,169187,PINFISH,LAGODON RHOMBOIDES
651,Larimus fasciatus,169269,109,169269,"DRUM,BRANDED",LARIMUS FASCIATUS
654,Sciaenops ocellatus,169290,107,169290,"DRUM,RED",SCIAENOPS OCELLATUS
659,Chaetodipterus faber,169539,381,169537,SPADEFISH,EPHIPPIDAE
682,Lachnolaimus maximus,170566,179,170566,HOGFISH,LACHNOLAIMUS MAXIMUS
700,Xiphias gladius,172482,432,172482,SWORDFISH,XIPHIAS GLADIUS
702,Auxis thazard,172456,132,172456,FRIGATE MACKEREL,AUXIS THAZARD
703,Thunnus alalunga,172419,470,172419,"TUNA,ALBACORE",THUNNUS ALALUNGA
734,Ammodytes americanus,171673,206,171671,LAUNCES,AMMODYTES
734,Ammodytes americanus,171673,206,171673,"LANCE,AMERICAN SAND",AMMODYTES AMERICANUS
744,Scomberomorus cavalla,172435,194,172435,"MACKEREL,KING",SCOMBEROMORUS CAVALLA
745,Scomberomorus maculatus,172436,384,172436,"MACKEREL,SPANISH",SCOMBEROMORUS MACULATUS
789,Paralichthys lethostigma,172738,130,172738,"FLOUNDERS,SOUTHERN",PARALICHTHYS LETHOSTIGMA
824,Lepidocybium flavobrunneum,172362,385,172362,ESCOLAR,LEPIDOCYBIUM FLAVOBRUNNEUM
877,Seriola fasciata,168690,182,168690,"AMBERJACK,LESSER",SERIOLA FASCIATA
894,Salmo salar,161996,305,161996,"SALMON,ATLANTIC",SALMO SALAR
897,Lophius gastrophysus,164500,13,164500,"GOOSEFISH,BLACKFIN",LOPHIUS GASTROPHYSUS
926,Alopias superciliosus,159921,354,159921,"SHARK,BIGEYE THRESHER",ALOPIAS SUPERCILIOSUS
931,Carcharhinus brevipinna,160401,488,160401,"SHARK,SPINNER",CARCHARHINUS BREVIPINNA
934,Carcharhinus signatus,160413,486,160413,"SHARK,NIGHT",CARCHARHINUS SIGNATUS
5,Rajiformes,160806,289,160806,"RAYS,UNC",RAJIFORMES 
20,Raja sp,160846,365,160845,SKATES,RAJIDAE
30,Clupeidae,161700,167,161700,"HERRINGS,UNC",CLUPEIDAE
47,Chlorophthalmidae,162427,139,NA,NA,NA
56,Myctophidae,162575,655,NA,NA,NA
60,Anguilliformes,161123,117,161123,"EEL,NK",ANGUILLIFORMES
86,Merluccius sp,164790,507,164790,BLACK WHITING/SILVER HAKE MIX,MERLUCCIUS
87,Urophycis sp,164729,155,164729,"HAKE,ATLANTIC,RED & WHITE",UROPHYCIS
90,Macrouridae,165332,138,165332,GRENADIERS,MACROURIDAE
100,Pleuronectiformes,172702,126,172702,"FLATFISH,UNC",PLEURONECTIFORMES
160,Cottidae,167196,326,167196,SCULPINS,COTTIDAE
174,Triglidae,166972,341,166972,SEA ROBINS,TRIGLIDAE
252,Sternoptychidae,162212,252,NA,NA,NA
422,Caproidae,166309,526,161030,"FISH,OTHER",OSTEICHTHYES
423,Atherinidae,165984,363,165984,SILVERSIDES,ATHERINIDAE
461,Ophidiidae,164807,253,164807,"EELS,CUSK",OPHIDIIDAE
554,Serranidae,167674,141,167674,GROUPERS,SERRANIDAE
582,Carangidae,168584,4,NA,NA,NA
597,Lutjanidae,168845,336,168845,"SNAPPERS,UNC",LUTJANIDAE
600,Squalidae,160604,350,160604,"DOGFISH,UNC",SQUALIDAE
620,Sphyraena sp,170425,18,170424,BARRACUDA,SPHYRAENIDAE
630,Haemulidae,169055,144,169055,GRUNTS,HAEMULIDAE
643,Sparidae,169180,332,169180,"PORGIES,UNC",SPARIDAE
759,Scorpaenidae,166704,526,161030,"FISH,OTHER",OSTEICHTHYES
820,Balistidae,173128,456,173128,TRIGGERFISHES,BALISTIDAE
851,Engraulidae,553173,686,553173,"ANCHOVIES,NK",ENGRAULIDAE
855,Chaetodontidae,169554,526,161030,"FISH,OTHER",OSTEICHTHYES
857,Uranoscopidae,171053,30,NA,NA,NA
858,Sciaenidae,169237,104,169237,DRUM,SCIAENIDAE
861,Tetraodontidae,173283,431,173283,PUFFERS,TETRAODONTIDAE
NA,NA,NA,798,070394,"PERIWINKLES,ATLANTIC (COCKLES)",LITTORINIDAE
NA,NA,NA,529,161030,"FISH,OTHER-INDUSTRIAL",OSTEICHTHYES
NA,NA,NA,825,065902,SANDWORMS,NEREIS
